Date = 19.10.2018 16:49:50 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 1175 	Another:                                                                                     Другое упражнение №1: Упражнение на пресс ; 1 подходов по 20 повторений с весом 0 + 1 подходов по 25 повторений с весом 0 + 1 подходов по 15 повторений с весом 5 + 1 подходов по 20 повторений с весом 5 + 2 подходов по 25 повторений с весом 5 + 3 подходов по 20 повторений с весом 5 Другое упражнение №2: Упражнение на шею ; 6 подходов по 15 повторений с весом 5 
Date = 22.10.2018 0:00:00 	Squat = 149,975 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 9230 	Another:                                                                                    Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 80 + 1 подходов по 10 повторений с весом 110 + 6 подходов по 6 повторений с весом 125 + 1 подходов по 7 повторений с весом 110 + 1 подходов по 15 повторений с весом 50 | Комментарий: План выполнил, но было очень тяжело (возможно, из-за дождя). Затем спал ночью всего 5 часов, проснулся и не мог заснуть
Date = 26.10.2018 20:02:00 	Squat = 0 	Press = 119,97 	Lift = 0 	Weight = 72 	Tonnage = 10420 	Another:                                                                                   Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 12 повторений с весом 70 + 1 подходов по 10 повторений с весом 90 + 2 подходов по 8 повторений с весом 90 + 1 подходов по 7 повторений с весом 90 + 1 подходов по 5 повторений с весом 90 + 1 подходов по 15 повторений с весом 50 Другое упражнение №2: Жим лёжа обратным хватом ; 1 подходов по 12 повторений с весом 50 Другое упражнение №3: Тяга штанги/гантелей к поясу/груди ; 1 подходов по 15 повторений с весом 20 + 1 подходов по 12 повторений с весом 40 + 1 подходов по 12 повторений с весом 40 + 4 подходов по 12 повторений с весом 50 | Комментарий: Получилось хуже, чем хотелось. Возможно, связано с болезнью и холодом. Сейчас Бог испытывает мою волю
Date = 30.10.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 12340 	Another:                                                                                  Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 10 повторений с весом 80 + 1 подходов по 6 повторений с весом 90 + 1 подходов по 4 повторений с весом 100 + 15 подходов по 2 повторений с весом 110 + 1 подходов по 15 повторений с весом 50 Другое упражнение №2: Упражнение на икры ; 1 подходов по 20 повторений с весом 30 + 1 подходов по 20 повторений с весом 40 + 1 подходов по 20 повторений с весом 50 + 4 подходов по 15 повторений с весом 50 
Date = 02.11.2018 22:12:17 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 5410 	Another:                                                                                 Другое упражнение №1: Жим лёжа обратным хватом ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 9 повторений с весом 70 + 6 подходов по 5 повторений с весом 85 + 1 подходов по 9 повторений с весом 70 + 1 подходов по 12 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 3 подходов по 15 повторений с весом 0 
Date = 06.11.2018 0:00:00 	Squat = 155,974 	Press = 0 	Lift = 0 	Weight = 72 	Tonnage = 8560 	Another:                                                                                Другое упражнение №1: Присед со штангой на плечах ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 11 повторений с весом 80 + 1 подходов по 8 повторений с весом 110 + 3 подходов по 6 повторений с весом 130 + 2 подходов по 5 повторений с весом 130 + 1 подходов по 6 повторений с весом 110 + 1 подходов по 6 повторений с весом 100 + 1 подходов по 15 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 2 подходов по 15 повторений с весом 0 + 1 подходов по 20 повторений с весом 0 + 1 подходов по 15 повторений с весом 0 + 1 подходов по 10 повторений с весом 0 | Комментарий: Не выспался, мало выпил, были душно, а ещё надо бы поменять технику
Date = 10.11.2018 0:00:00 	Squat = 0 	Press = 120,989 	Lift = 0 	Weight = 72 	Tonnage = 5370 	Another:                                                                               Другое упражнение №1: Жим лёжа ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 50 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 6 повторений с весом 90 + 5 подходов по 3 повторений с весом 110 + 1 подходов по 8 повторений с весом 90 + 1 подходов по 15 повторений с весом 50 Другое упражнение №2: Упражнение на пресс ; 2 подходов по 15 повторений с весом 0 + 1 подходов по 20 повторений с весом 0 + 1 подходов по 15 повторений с весом 0 | Комментарий: Надо теплее одеваться и лучше разминаться, ибо заболел правый локоть
Date = 14.11.2018 22:14:00 	Squat = 0 	Press = 0 	Lift = 167,972 	Weight = 73 	Tonnage = 6490 	Another:                                                                              Другое упражнение №1: Становая тяга классикой ; 1 подходов по 15 повторений с весом 50 + 1 подходов по 10 повторений с весом 80 + 1 подходов по 9 повторений с весом 100 + 1 подходов по 8 повторений с весом 120 + 1 подходов по 4 повторений с весом 140 + 3 подходов по 6 повторений с весом 140 | Комментарий: Было слишком тяжело. Опять не выспался, до зала замёрз, взял гриф, который сильно крутился в руках, в итоге сделал на 15% меньше, чем собирался, и получил микроинсульт в правом полушарии. Уеду отдохнуть на 4 дня, а потом начну новые циклы и больше времени стану уделять сушке
Date = 23.11.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 4290 	Another:                                                                             Другое упражнение №1: Жим лёжа обратным хватом ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 12 повторений с весом 50 + 1 подходов по 8 повторений с весом 70 + 1 подходов по 3 повторений с весом 90 + 1 подходов по 5 повторений с весом 90 + 1 подходов по 3 повторений с весом 90 Другое упражнение №2: Жим лёжа ; 2 подходов по 5 повторений с весом 90 Другое упражнение №3: Жим лёжа обратным хватом ; 2 подходов по 6 повторений с весом 70 Другое упражнение №4: Упражнение на пресс ; 2 подходов по 15 повторений с весом 0 + 3 подходов по 20 повторений с весом 0 
Date = 26.11.2018 0:00:00 	Squat = 0 	Press = 0 	Lift = 0 	Weight = 73 	Tonnage = 4675 	Another:                                                                            Другое упражнение №1: Фронтальный присед ; 1 подходов по 20 повторений с весом 20 + 1 подходов по 15 повторений с весом 40 + 5 подходов по 8 повторений с весом 60 + 1 подходов по 10 повторений с весом 50 Другое упражнение №2: Упражнение на плечи ; 1 подходов по 20 повторений с весом 14 + 1 подходов по 15 повторений с весом 18 + 1 подходов по 15 повторений с весом 15 
